Pic_id,Text,,Target,Source,SentimentCategory
1.jpg,heineken,1,glass,ice,0
2.jpg,"MONSTER  
ENERGY  
FINISH  
MONSTER ENERGY SUPERCROSS",0,,,0
3.jpg,"IS FAULTY VISION EMBARRASSING YOU?  
THEN VISIT DR. LENZ  
SPECIALIST IN THE VISUAL PROBLEMS FOR MONSTERS

SPECIAL FRAMES FOR ONE EYED MONSTERS  
THREE EYED MONSTERS!",1,monkey,people,1
4.jpg,"THE ULTIMATE IN FANTASY


Ultima II  
NOW AVAILABLE FOR THE APPLE

Ultima II: the adventure continues! The long-awaited, role-playing sequel to the best-selling fantasy Ultima comes to Apple computers! Take an exhilarating journey through time and space, come face to face with the merciless enchantress Minax.  
  
The Ultima II fantasy game time for devices for Apple III, II+, II is available for $59.95 from your local computer store or directly from SIERRA ON-LINE, INC., 36575 Mudge Ranch Rd., Coarsegold, CA 93614. (209) 683-6858. Add $1 for shipping.  
  
Check ? VISA ? MasterCard ? COD accepted.  


Ultima I  
The Original  
NOW AVAILABLE FOR THE ATARI

Ultima, the best-selling fantasy game, comes to Atari computers! Now you can delve into land and sea, forests and dungeons—even outer space! This role-playing fantasy from the Apple best-seller list for more than a year and shows no sign of slowing down is now on Atari 400/800 with a disk drive. Available for $39.95 from your local computer store or from SIERRA ON-LINE, INC., 36575 Mudge Ranch Road, Coarsegold, CA 93614. (209) 683-6858. Add $1 for shipping.  
  
Check ? VISA ? MasterCard ? COD accepted.

- Apple is a registered trademark of Apple Computer, Inc.
- TM designates trademarks of SIERRA ON-LINE, INC.",0,,,-1
5.jpg,"PORTABLE PULVERIZERS!

Official Licensed Product

Get behind the wheel and crush the competition! Six thunderous Monster Trucks pulverize everything in their path on the toughest circuits in America! Driving turboforce, explosive nitro bursts and 1500 horsepower fire up your mean monster machine!

Choose your favorite USHRA Monster Truck. Beef up your 4x4 at the shop. Car-crunching, metal-mashing action!

AKClaim Entertainment Inc.",0,,,1
6.jpg,stuck in the wrong job,1,man,box,-1
7.jpg,we see the job you do not.monster,1,Wrench,Buildings,1
8.jpg,same fuel.,1,Demon,Molecules,-1
9.jpg,a fast octacore processor,1,processor,Rotating amusement equipment,1
10.jpg,www.davidbeckham-fans-online.com,1,phone,line,1
